Location_ID,Location_Name
08CED4192,LOWER CEDAR RIVER SUBBASIN 4192
08NOR1362,SWAMP CREEK SUBBASIN 1362
09BLA0716,BLACK RIVER SUBBASIN 0716
08BEA3826,BEAR CREEK SUBBASIN 2826
09COV1864,COVINGTON CREEK SUBBASIN 1864
08LIT2603,LITTLE BEAR CREEK SUBBASIN 2603
09MID2426,MIDDLE GREEN RIVER SUBBASIN 2426
08ISS3877,ISSAQUAH CREEK SUBBASIN 3877
08ISS4724,ISSAQUAH CREEK SUBBASIN 4724
08LIT2682,LITTLE BEAR CREEK SUBBASIN 2682
08LIT2685,LITTLE BEAR CREEK SUBBASIN 2685
08CED5032,UPPER CEDAR RIVER SUBBASIN 5032
09DUW0277,DUWAMISH RIVER SUBBASIN 0277
09NEW2076,NEWAUKUM CREEK SUBBASIN 2076
08ISS3958,ISSAQUAH CREEK SUBBASIN 3958
09MID1374,MIDDLE GREEN RIVER SUBBASIN 1374
08BEA3474,BEAR CREEK SUBBASIN 3474
09MIL0390,MILL CREEK SUBBASIN 0390
08WES1490,W LAKE WASHINGTON SUBBASIN 1490
09BLA0675,BLACK RIVER SUBBASIN 0675
09DEE2211,DEEP CREEK SUBBASIN 2211
08WES1037,W LAKE WASHINGTON SUBBASIN 1037
08LAK3616,TIBBETTS CREEK SUBBASIN 3616
09COV1756,COVINGTON CREEK SUBBASIN 1756
08EAS2191,FORBES CREEK SUBBASIN 2191
09MID1744,MIDDLE GREEN RIVER SUBBASIN 1744
08BEA3650,BEAR CREEK SUBBASIN 3650
08LIT2602,LITTLE BEAR CREEK SUBBASIN 2602
09COV1418,COVINGTON CREEK SUBBASIN 1418
08SAM0000,SAMMAMISH RIVER SUBBASIN 0000
09LOW0406,LOWER GREEN RIVER - W SUBBASIN 0406
09MID1958,MIDDLE GREEN RIVER SUBBASIN 1958
09COV1165,COVINGTON CREEK SUBBASIN 1165
09SOO1144,SOOS CREEK SUBBASIN 1144
09JEN1318,JENKINS CREEK SUBBASIN 1318
09SOO1134,SOOS CREEK SUBBASIN 1134
