Taxon Name,Taxonomic Serial Number (TSN),Parent Taxonomic Serial Number (TSN),Taxon Group,Taxon Level,AphiaID,NADED ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon Citations,Preferred Source,Former or Invalid Name,Common Name,Alternate Name,NODC Code,Xerces Code,Active
"Abarenicola","67501",""," Invertebrates","Genus","129205","","Animalia","Annelida","Polychaeta","","Arenicolidae","Abarenicola","","Wells, 1959","","","","","","","Y"
"Abarenicola pacifica","67503","67501"," Invertebrates","Species","326192","","Animalia","Annelida","Polychaeta","","Arenicolidae","Abarenicola","Abarenicola pacifica","Healy & Wells, 1959","","","",""," 5001620102","","Y"
"Abietinaria","49945",""," Invertebrates","Genus","117225","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","Schuchert, P. (2015). Abietinaria Kirchenpauer, 1884. In: Schuchert, P. (2016). World Hydrozoa database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=117225 on 2016-05-09","WORMS","","",""," 37040504","","Y"
"Ablabesmyia","128079","128078"," Invertebrates","Genus","987209","","Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","","Johannsen, 1905","ITIS","","","","","","Y"
"Acanthodoris","78358",""," Invertebrates","Genus","138284","","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","","Bouchet, P.; Gofas, S. (2016). Acanthodoris. In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=138284 on 2016-05-09","WORMS","","",""," 51310501","","Y"
"Acanthodoris brunnea","78360",""," Invertebrates","Species","581687","","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","brunnea","Rosenberg, G. (2015). Acanthodoris brunnea MacFarland, 1905. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=581687 on 2016-12-28","WoRMS",""," Brown Dorid","","","","Y"
"Acanthoptilum","52401",""," Invertebrates","Genus","267189","","Animalia","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Acanthoptilum","","van Ofwegen, L. (2015). Acanthoptilum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=267189 on 2016-05-09","WORMS","","","","","","Y"
"Acanthoptilum gracile","52403",""," Invertebrates","Species","289324","","Animalia","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Acanthoptilum","gracile","van Ofwegen, L. (2015). Acanthoptilum gracile (Gabb, 1863). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=289324 on 2016-05-09","WORMS","","",""," 3754010302","","Y"
"Acanthozoon lepidum","",""," Invertebrates","Species","483922","","Animalia","Platyhelminthes","Rhabditophora","Polycladida","Pseudocerotidae","Acanthozoon","lepidum","Tyler, S. (2015). Acanthozoon lepidum (Heath & McGregor, 1912). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=483922 on 2016-05-09","WORMS","","","","","","Y"
"Acari","733321",""," Invertebrates","Subclass","","","","","","","","","","","","","","","","","Y"
"Acartia","86084",""," Invertebrates","Genus","104108","","Animalia","Arthropoda","Not assigned","Calanoida","Acartiidae","Acartia","","Walter, T. Chad; Boxshall, G. (2015). Acartia Dana, 1846. In: Walter, T.C. & Boxshall, G. (2016). World of Copepods database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=104108 on 2016-05-09","WORMS","","","","","","Y"
"Acartia (Acartiura) longiremis","",""," Invertebrates","Species","346037","","Animalia","Arthropoda","Not assigned","Calanoida","Acartiidae","Acartia","longiremis","WoRMS (2008). Acartia (Acartiura) longiremis (Lilljeborg, 1853). In: Walter, T.C. & Boxshall, G. (2016). World of Copepods database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=346037 on 2016-05-09","WORMS","","","","","","Y"
"Accedomoera vagor","93683",""," Invertebrates","Species","550289","","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Accedomoera","vagor","Lowry, J. (2015). Accedomoera vagor J.L. Barnard, 1969. In: Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C. O.; Daneliya, M.; Dauvin, J-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J. M.; Hendrycks, E.; Holsinger, J.; Hughes, L.; Jazdzewski, K.; Just, J.; Kamaltynov, R. M.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Senna, A. R.; Serejo, C.; Sket, B.; Thomas, J.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. World Amphipoda Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=550289 on 2016-05-09","WORMS","","","","","","Y"
"Acentrella","100801","100755"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0075","Y"
"Acentrella insignificans","568572","100801"," Invertebrates","Species","","","","","","","","","","","","","","",""," S0006","Y"
"Acentrella turbida","568574","100801"," Invertebrates","Species","","","","","","","","","","","","","","",""," S0007","Y"
"Aceroides","94494",""," Invertebrates","Genus","101687","","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Aceroides","","Lowry, J.; Costello, M.; Bellan-Santini, D. (2010). Aceroides Sars, 1895. In: Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C. O.; Daneliya, M.; Dauvin, J-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J. M.; Hendrycks, E.; Holsinger, J.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Just, J.; Kamaltynov, R. M.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Senna, A. R.; Serejo, C.; Sket, B.; Tandberg, A.H.; Thomas, J.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2016). World Amphipoda Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101687 on 2016-05-09","WORMS","","",""," 61693702","","Y"
"Acerpenna pygmaea","206620",""," Invertebrates","Species","","","Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna","Acerpenna pygmaea","","ITIS","","","","","","Y"
"Achaeta","68560",""," Invertebrates","Genus","","","Animalia","Annelida","Oligochaeta","Enchytraeida","Enchytraeidae","Achaeta","","","ITIS","","","","","","Y"
"Achelia","83579",""," Invertebrates","Genus","134568","","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","","Bamber, R. (2010). Achelia Hodge, 1864. In: Bamber, R.N., El Nagar, A. & Arango, C. (Eds) (2016). Pycnobase: World Pycnogonida Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134568 on 2016-05-09","WORMS","","",""," 60010402","","Y"
"Achelia alaskensis","","83579"," Invertebrates","Species","239888","","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","alaskensis","Bamber, R. (2008). Achelia alaskensis (Cole, 1904). In: Bamber, R.N., El Nagar, A. & Arango, C. (Eds) (2016). Pycnobase: World Pycnogonida Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=239888 on 2016-05-09","WORMS","","","","","","Y"
"Achelia chelata","83580","83579"," Invertebrates","Species","239750","","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","chelata","Bamber, R. (2008). Achelia chelata (Hilton, 1939). In: Bamber, R.N., El Nagar, A. & Arango, C. (Eds) (2016). Pycnobase: World Pycnogonida Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=239750 on 2016-05-09","WORMS","","","","","","Y"
"Achelia echinata","83586","83579"," Invertebrates","Species","134599","","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","echinata","Bamber, R. (2007). Achelia echinata Hodge, 1864. In: Bamber, R.N., El Nagar, A. & Arango, C. (Eds) (2016). Pycnobase: World Pycnogonida Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134599 on 2016-05-09","WORMS","","",""," 6001040207","","Y"
"Achelia gracilipes","83584",""," Invertebrates","Species","240141","","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","gracilipes","Bamber, R. (2015). Achelia gracilipes (Cole, 1904). In: Bamber, R.N., El Nagar, A. & Staples, D. (Eds) (2015). Pycnobase: World Pycnogonida Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=240141 on 2016-05-09","WORMS","","","","","","Y"
"Achelia latifrons","","83579"," Invertebrates","Species","239549","","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","latifrons","Bamber, R. (2009). Achelia latifrons (Cole, 1904). In: Bamber, R.N., El Nagar, A. & Arango, C. (Eds) (2016). Pycnobase: World Pycnogonida Database. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=239549 on 2016-05-09","WORMS","","",""," 6001040289","","Y"
"Acidostoma","94225",""," Invertebrates","Genus","101586","","Animalia","Arthropoda","Malacostraca","Amphipoda","Acidostomatidae","Acidostoma","","De Broyer, C.; Lowry, J.; Costello, M.; Bellan-Santini, D. (2012). Acidostoma Lilljeborg, 1865. In: Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C. O.; Daneliya, M.; Dauvin, J-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J. M.; Hendrycks, E.; Holsinger, J.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Just, J.; Kamaltynov, R. M.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Senna, A. R.; Serejo, C.; Sket, B.; Tandberg, A.H.; Thomas, J.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2016). World Amphipoda Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101586 on 2016-05-09","WORMS","","",""," 61693401","","Y"
"Acidostoma hanckocki","",""," Invertebrates","Species","488198","","Animalia","Arthropoda","Malacostraca","Amphipoda","Acidostomatidae","Acidostoma","hanckocki","Lowry, J. (2015). Acidostoma hanckocki Hurley, 1963. In: Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C. O.; Daneliya, M.; Dauvin, J-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J. M.; Hendrycks, E.; Holsinger, J.; Hughes, L.; Jazdzewski, K.; Just, J.; Kamaltynov, R. M.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Senna, A. R.; Serejo, C.; Sket, B.; Thomas, J.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. World Amphipoda Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=488198 on 2016-05-09","WORMS","","","","","","Y"
"Acila castrensis","79125",""," Invertebrates","Species","506568","","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Acila","castrensis","Huber, M. (2015). Acila castrensis (Hinds, 1843). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=506568 on 2016-05-09","WoRMS",""," divaricate nut clam",""," 5502020101","","Y"
"Acneus","114082","114069"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0030","Y"
"Acricotopus","128463",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Acropora","52860",""," Invertebrates","Genus","205469","","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Heteropora","","Hoeksema, B. (2015). Heteropora. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=739504 on 2016-05-10","WORMS"," Heteropora","","","","","Y"
"Acteocina","76107",""," Invertebrates","Genus","137866","","Animalia","Mollusca","Gastropoda","Cephalaspidea","Acteocinidae","Acteocina","","Bouchet, P.; Rosenberg, G.; Gofas, S. (2015). Acteocina Gray, 1847. In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=137866 on 2016-05-09","WORMS","","",""," 51100401","","Y"
"Acteocina culcitella","76108",""," Invertebrates","Species","581396","","Animalia","Mollusca","Gastropoda","Cephalaspidea","Acteocinidae","Acteocina","culcitella","Rosenberg, G. (2015). Acteocina culcitella (Gould, 1853). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=581396 on 2016-05-09","WORMS","","","","","","Y"
"Acteocina eximia","76112",""," Invertebrates","Species","581397","","Animalia","Mollusca","Gastropoda","Cephalaspidea","Acteocinidae","Acteocina","eximia","Rosenberg, G. (2015). Acteocina eximia (Baird, 1863). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=581397 on 2016-05-09","WORMS","","",""," 511004010102","","Y"
"Acteocina harpa","76114",""," Invertebrates","Species","581398","","Animalia","Mollusca","Gastropoda","Cephalaspidea","Acteocinidae","Acteocina","harpa","Rosenberg, G. (2015). Acteocina harpa (Dall, 1871). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=581398 on 2016-05-09","WORMS","","",""," 5110040102","","Y"
"Actiniaria","52485","52430"," Invertebrates","Order","1360","","Animalia","Cnidaria","Anthozoa","Actiniaria","","","","WoRMS (2016). Actiniaria. In: Fautin, Daphne G. (2013). Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=1360 on 2016-05-09","WoRMS",""," anemones, sea anemones","","","","Y"
"Actiniidae","52541",""," Invertebrates","Family","100653","","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","","","Fautin, D. (2016). Actiniidae Rafinesque, 1815. In: Fautin, Daphne G. (2013). Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100653 on 2016-05-09","WORMS","","",""," 376001","","Y"
"Admete gracilior","74345",""," Invertebrates","Species","464624","","Animalia","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete","gracilior","Bouchet, P. (2015). Admete gracilior (Carpenter in Gabb, 1869). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=464624 on 2016-05-09","WORMS","","","","","","Y"
"Adontorhina cyclia","80496",""," Invertebrates","Species","582532","","Animalia","Mollusca","Bivalvia","Lucinida","Thyasiridae","Adontorhina","cyclia","Rosenberg, G. (2015). Adontorhina cyclia S. S. Berry, 1947. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=582532 on 2016-05-09","WORMS","","","","","","Y"
"Adontorhina sphaericosa","80497",""," Invertebrates","Species","582534","","Animalia","Mollusca","Bivalvia","Lucinida","Thyasiridae","Adontorhina","sphaericosa","Rosenberg, G. (2015). Adontorhina sphaericosa Scott, 1986. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=582534 on 2016-05-09","WORMS","","",""," 5515020103","","Y"
"Aedes","126234",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Aegiochus symmetrica","92486",""," Invertebrates","Species","256439","","Animalia","Arthropoda","Malacostraca","Isopoda","Aegidae","Aegiochus","symmetrica","Bruce, Niel L.; Schotte, M. (2015). Aegiochus symmetrica (Richardson, 1905). In: Boyko, C.B; Bruce, N.L.; Merrin, K. L.; Ota, Y.; Poore, G.C.B.; Taiti, S.; Schotte, M. & Wilson, G.D.F. (Eds) (2008 onwards) World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=256439 on 2016-05-09","WORMS","","","","","","Y"
"Aegires albopunctatus","78307",""," Invertebrates","Species","531071","","Animalia","Mollusca","Gastropoda","Nudibranchia","Aegiridae","Aegires","albopunctatus","Bouchet, P. (2015). Aegires albopunctatus MacFarland, 1905. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=531071 on 2016-05-09","WORMS","","",""," 5131010102","","Y"
"Aeolidacea","",""," Invertebrates","Suborder","","","Animalia","Mollusca","Gastropoda","Nudibranchia","","","","","WORMS","","",""," 514289","","Y"
"Aeolidia","78727",""," Invertebrates","Genus","137630","","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Aeolidia","","Gofas, S. (2013). Aeolidia Cuvier, 1798. In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php/aphia.php?p=taxdetails&id=137630 on 2016-05-09","WORMS","","",""," 51420301","","Y"
"Aeolidia papillosa","78728",""," Invertebrates","Species","138709","","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Aeolidia","papillosa","Gofas, S. (2004). Aeolidia papillosa (Linnaeus, 1761). In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=138709 on 2016-05-09","WORMS","","","","","","Y"
"Aeolidiidae","78726",""," Invertebrates","Family","192","","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","","","Bouchet, P. (2010). Aeolidiidae. In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=192 on 2016-05-09","WORMS","","",""," 514203","","Y"
"Aequorea victoria","50644",""," Invertebrates","Species","283998","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea","victoria","Schuchert, P. (2015). Aequorea victoria (Murbach & Shearer, 1902). In: Schuchert, P. (2015) World Hydrozoa database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=283998 on 2016-05-09","WORMS","","","","","","Y"
"Aeshna","101603",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Aeshna interrupta","185979",""," Invertebrates","Species","","","","","","","","","","","","","","","","","Y"
"Aeshna umbrosa","101605",""," Invertebrates","Species","","","","","","","","","","","","","","","","","Y"
"Aeshnidae","101596","101593"," Invertebrates","Family","","","","","","","","","","","","","","",""," F0064","Y"
"Aetideus divergens","85426",""," Invertebrates","Species","346076","","Animalia","Arthropoda","Not assigned","Calanoida","Aetideidae","Aetideus","divergens","WoRMS (2015). Aetideus divergens Bradford, 1971. In: Walter, T.C. & Boxshall, G. (2015). World of Copepods database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=346076 on 2016-05-09","WORMS","","",""," 6118070205","","Y"
"Afghanurus","","100504"," Invertebrates","Genus","","","Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Afghanurus","","","ITIS","","","","","","Y"
"Afghanurus criddlei","","100504"," Invertebrates","Species","","","Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Afghanurus","Afghanurus criddlei","","ITIS","","","","","","Y"
"Agabinae","728212",""," Invertebrates","Subfamily","","","","","","","","","","","","","","","","","Y"
"Agabinus","112068",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Agabus","111966","111963"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0003","Y"
"Agapetus","117121","117120"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0196","Y"
"Agathon","121230","121227"," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Aglaja ocelligera","76204",""," Invertebrates","Species","581409","","Animalia","Mollusca","Gastropoda","Cephalaspidea","Aglajidae","Aglaja","ocelligera","Rosenberg, G. (2015). Aglaja ocelligera (Bergh, 1893). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=581409 on 2016-05-09","WORMS","","","","","","Y"
"Aglajidae","76201","76047"," Invertebrates","Family","22981","","Animalia","Mollusca","Gastropoda","Cephalaspidea","Aglajidae","","","Bouchet, P. (2010). Aglajidae Pilsbry, 1895 (1847). In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=22981 on 2016-05-09","WORMS","","","","","","Y"
"Aglaophamus","66047",""," Invertebrates","Genus","129366","","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Aglaophamus","","Bellan, G. (2008). Aglaophamus. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=129366 on 2016-05-09","WORMS","","","","","","Y"
"Aglaophenia","50333",""," Invertebrates","Genus","116999","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","","Schuchert, P. (2015). Aglaophenia. In: Schuchert, P. (2016). World Hydrozoa database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=116999 on 2016-05-09","WORMS","","",""," 37040711","","Y"
"Agnezia septentrionalis","",""," Invertebrates","Species","249788","","Animalia","Chordata","Ascidiacea","Phlebobranchia","Agneziidae","Agnezia","septentrionalis","Gittenberger, A.; Sanamyan, K. (2015). Agnezia septentrionalis (Huntsman, 1912). In: Shenkar, N.;  Gittenberger, A.; Lambert, G.; Rius, M.; Moreira Da Rocha, R.; Swalla, B.J.; Turon, X. (2015) Ascidiacea World Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=249788 on 2016-05-09","WORMS","","","","","","Y"
"Agraylea","115635","115629"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0206","Y"
"Agrypnia","115882","598216"," Invertebrates","Genus","","","Animalia","Arthropoda","Insecta","Trichoptera","Phryganeidae","Agrypnia","","Curtis, 1835","ITIS","","","","","","Y"
"Akanthophoreus phillipsi","",""," Invertebrates","Species","478741","","Animalia","Arthropoda","Malacostraca","Tanaidacea","Akanthophoreidae","Akanthophoreus","phillipsi","Anderson, G. (2015). Akanthophoreus phillipsi (Sieg & Dojiri, 1991). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=478741 on 2016-05-09","WORMS","","","","","","Y"
"Alamprops augustinensis","",""," Invertebrates","Species","1307563","","Animalia","Arthropoda","Malacostraca","Cumacea","Lampropidae","Alamprops","Alamprops augustinensis","(Gerken, 2005)","WoRMS","","","","","","Y"
"Alamprops carinatus","",""," Invertebrates","Species","1307564","","Animalia","Arthropoda","Malacostraca","Cumacea","Lampropidae","Alamprops","","(Hart, 1930)","WoRMS","","","","","","Y"
"Alcyonidium","155475",""," Invertebrates","Genus","110993","","Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Alcyonidiidae","Alcyonidium","","Hayward, P. (2012). Alcyonidium J.V.F.Lamouroux, 1813. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=110993 on 2016-05-09","WORMS","","",""," 78030101","","Y"
"Alia carinata","73705",""," Invertebrates","Species","511703","","Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","Alia","carinata","Monsecour, K. (2015). Alia carinata (Hinds, 1844). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=511703 on 2016-05-09","WORMS","","","","","","Y"
"Alienacanthomysis macropsis","90326",""," Invertebrates","Species","226662","","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Alienacanthomysis","macropsis","Mees, J. (2015). Alienacanthomysis macropsis (W. Tattersall, 1932). In: Mees, J. & K. Meland (Eds) (2012 onwards) World List of Lophogastrida, Stygiomysida and Mysida. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=226662 on 2016-05-09","WORMS","","","","","","Y"
"Alitta virens","",""," Invertebrates","Species","234851","","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","virens","Glasby, C. (2008). Alitta virens (M. Sars, 1835). In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=234851 on 2016-05-09","WORMS","","","","","","Y"
"Allocladius","","127917"," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Allocosmoecus","115969","115933"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0221","Y"
"Allocosmoecus partitus","115970","115969"," Invertebrates","Species","","","","","","","","","","","","","","",""," S0085","Y"
"Allogaussia","94478",""," Invertebrates","Genus","177024","","Animalia","Arthropoda","Malacostraca","Amphipoda","Lysianassidae","Allogaussia","","Lowry, J.; De Broyer, C. (2015). Allogaussia Schellenberg, 1926. In: Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C. O.; Daneliya, M.; Dauvin, J-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J. M.; Hendrycks, E.; Holsinger, J.; Hughes, L.; Jazdzewski, K.; Just, J.; Kamaltynov, R. M.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Senna, A. R.; Serejo, C.; Sket, B.; Thomas, J.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. World Amphipoda Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=177024 on 2016-05-09","WORMS","","",""," 61693458","","Y"
"Allomyia","116438",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Alloperla","103203","103202"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0140","Y"
"Alotanypus","206646",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Altmanella","974298",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Alvania","70798",""," Invertebrates","Genus","138439","","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","","Gofas, S. (2014). Alvania Risso, 1826. In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=138439 on 2016-05-09","WORMS","","",""," 51032001","","Y"
"Alvania compacta","70806","70798"," Invertebrates","Species","580527","","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","compacta","Rosenberg, G. (2015). Alvania compacta (Carpenter, 1864). In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=580527 on 2016-05-09","WORMS","","",""," 5103200106","","Y"
"Alvania rosana","70844","70798"," Invertebrates","Species","580530","","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania","Alvania rosana","Bartsch, 1911","",""," Santa Rosa alvania","","","","Y"
"Amacrodorum bipapillatum","",""," Invertebrates","Species","326269","","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Amacrodorum","bipapillatum","WoRMS (2015). Amacrodorum bipapillatum. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=326269 on 2016-05-09","WORMS","","","","","","Y"
