Taxon Name,Taxonomic Serial Number (TSN),Parent Taxonomic Serial Number (TSN),Taxon Group,Taxon Level,AphiaID,NADED ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon Citations,Preferred Source,Former or Invalid Name,Common Name,Alternate Name,NODC Code,Xerces Code,Active
"Solaster","157074",""," Invertebrates","Genus","123338","","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","","Mah, C.; Hansson, H. (2008). Solaster Forbes, 1839. In: Mah, C.L. (2016). World Asteroidea database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=123338 on 2016-05-10","WORMS","","",""," 81130103","","Y"
"Solaster stimpsoni","157078",""," Invertebrates","Species","292729","","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","stimpsoni","Mah, C. (2015). Solaster stimpsoni Verrill, 1880. In: Mah, C.L. (2015) World Asteroidea database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=292729 on 2016-05-10","WORMS","","","","","","Y"
"Solasteridae","157062",""," Invertebrates","Family","123143","","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","","","Mah, C.; Hansson, H. (2011). Solasteridae Viguier, 1878. In: Mah, C.L. (2016). World Asteroidea database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=123143 on 2016-05-10","WORMS","","","","","","Y"
"Solemya pervernicosa","",""," Invertebrates","Species","507133","","Animalia","Mollusca","Bivalvia","Solemyida","Solemyidae","Solemya","pervernicosa","Bouchet, P.; Huber, M. (2015). Solemya pervernicosa. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=507133 on 2016-05-10","WORMS","","","","","","Y"
"Solen sicarius","81016",""," Invertebrates","Species","413523","","Animalia","Mollusca","Bivalvia","Adapedonta","Solenidae","Solen","sicarius","von Cosel, R. (2015). Solen sicarius Gould, 1850. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=413523 on 2016-05-10","WORMS","","","","","","Y"
"Soliperla","103142","102488"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0163","Y"
"Soyedina","102556","102517"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0159","Y"
"Specaria","68984",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Sperchon","83006",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Sperchonopsis","83029",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Sphaeriidae","81389","79119"," Invertebrates","Family","","","","","","","","","","","","","","",""," F0101","Y"
"Sphaerium","81391",""," Invertebrates","Genus","","","","","","","","","","","","","","","","","Y"
"Sphaeriusidae","678385",""," Invertebrates","Family","","","Animalia","Arthropoda","Insecta","Coleoptera","Sphaeriusidae","","","","ITIS","","","","","","Y"
"Sphaerodoridium minutum","66074",""," Invertebrates","Species","155127","","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodoropsis","minuta","Bellan, G. (2016). Sphaerodoropsis minuta (Webster & Benedict, 1887). In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=131096 on 2016-05-10","WoRMS"," Sphaerodoropsis minuta","","","","","Y"
"Sphaerodoropsis sphaerulifer","66075",""," Invertebrates","Species","254759","","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodoropsis","sphaerulifer","WoRMS (2015). Sphaerodoropsis sphaerulifer. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=254759 on 2016-05-10","WORMS","","","","","","Y"
"Sphaerodorum papillifer","66068",""," Invertebrates","Species","334820","","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodorum","papillifer","WoRMS (2015). Sphaerodorum papillifer Moore, 1909. In: Read, G.; Fauchald, K. (Ed.) (2015) World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=334820 on 2016-05-10","WORMS","","","","","","Y"
